127.0.0.1 - - [06/Dec/2016:11:46:42 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Dec/2016:11:46:45 +0900] "GET /LSJ_PHOTO/home.jsp HTTP/1.1" 200 6281
0:0:0:0:0:0:0:1 - - [06/Dec/2016:11:46:45 +0900] "GET /LSJ_PHOTO/homepageImage/main.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2016:11:46:45 +0900] "GET /LSJ_PHOTO/homepageImage/line.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2016:11:46:46 +0900] "GET /LSJ_PHOTO/homepageImage/frame.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2016:11:46:46 +0900] "GET /LSJ_PHOTO/homepageImage/frames.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2016:11:46:46 +0900] "GET /LSJ_PHOTO/homepageImage/paper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2016:11:46:46 +0900] "GET /LSJ_PHOTO/homepageImage/album.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2016:11:46:46 +0900] "GET /LSJ_PHOTO/homepageImage/cover.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2016:11:46:46 +0900] "GET /LSJ_PHOTO/homepageImage/stuff.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2016:11:46:46 +0900] "GET /LSJ_PHOTO/homepageImage/cushion.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2016:11:46:46 +0900] "GET /LSJ_PHOTO/homepageImage/cup.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2016:11:46:46 +0900] "GET /LSJ_PHOTO/homepageImage/acc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2016:11:46:46 +0900] "GET /LSJ_PHOTO/homepageImage/eventBanner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2016:11:46:46 +0900] "GET /LSJ_PHOTO/productImage/frames_A1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2016:11:46:46 +0900] "GET /LSJ_PHOTO/productImage/frames_Art1.jpg HTTP/1.1" 304 -
